Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,21.1000003814697,,21.1000003814697,20.7000007629395,,,
American Samoa,,,,,,,,,,,2.20000004768372,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,5.09999990463257,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,2.29999995231628,,2.90000009536743,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,2.59999990463257,,,,,,
Argentina,,,0.10000000149012,0.30000001192093,0.30000001192093,,,,,,0.40000000596046,0.30000001192093,0.40000000596046,0.5,0.5,0.60000002384186,0.80000001192093,0.80000001192093,0.80000001192093,0.69999998807907,0.69999998807907,0.80000001192093,1,1.39999997615814,1.20000004768372,1.10000002384186,0.80000001192093,
Armenia,,,,,,,,,,,,,,,,,,,,,,5.40000009536743,45.2999992370606,46,46.9000015258789,46.2000007629394,46.2000007629394,
Aruba,,,,,,,,,,,,,,,0.10000000149012,,,0.5,,,,,,,,,,
Australia,6.5,6.5,6.40000009536743,6.59999990463257,6.19999980926514,6.19999980926514,6,5.69999980926514,5.80000019073486,5.30000019073486,5.5,5.30000019073486,5.19999980926514,5.40000009536743,5.09999990463257,5,5,5.09999990463257,4.90000009536743,5,5,4.80000019073486,4.5,3.90000009536743,3.79999995231628,3.59999990463257,3.5,3.40000009536743
Austria,,,,9.89999961853027,9.39999961853027,9,8.60000038146973,8.60000038146973,8.10000038146973,7.90000009536743,7.90000009536743,7.40000009536743,7.09999990463257,6.90000009536743,7.19999980926514,7.40000009536743,7.19999980926514,6.69999980926514,6.59999990463257,6.19999980926514,5.90000009536743,5.69999980926514,5.69999980926514,5.59999990463257,5,5.5,5.5,5.69999980926514
Azerbaijan,,,,33.4000015258789,33.4000015258789,33.2000007629394,33.0999984741211,33.7000007629394,32.7000007629394,31.6000003814697,30.8999996185303,31.7999992370606,34.7000007629394,32.4000015258789,31.5,30.7999992370606,31.7999992370606,29,42.2999992370606,42.2999992370606,41,40,40.2000007629394,38.2000007629394,39.5,39.2999992370606,39.5,38.5999984741211
Bahamas,,,,,,,5,,,4.40000009536743,,5.19999980926514,5.19999980926514,5.40000009536743,5.40000009536743,4.30000019073486,5,3.79999995231628,3.5,4,,4.19999980926514,3.70000004768372,3,4.40000009536743,3.5,2.5,2.29999995231628
