Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,24.2999992370605,,24,26,,,
American Samoa,,,,,,,,,,,44.4000015258789,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,20.6000003814697,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,20.5,,18.8999996185303,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,14.6000003814697,,,,,,
Argentina,,,29.2999992370606,29.2000007629394,30.8999996185303,,,,,,31.6000003814697,32.7000007629394,32.0999984741211,29.5,28.5,27,24.8999996185303,25.3999996185303,24.7999992370605,23.6000003814697,22.7000007629395,21.8999996185303,20.2000007629395,21.7000007629395,23,23.5,23.7000007629395,
Armenia,,,,,,,,,,,,,,,,,,,,,,23.1000003814697,17,16.5,16,15.8999996185303,15.6000003814697,
Aruba,,,,,,,,,,,,,,,18.6000003814697,,,16.2999992370605,,,,,,,,,,
Australia,31,30.5,29.7000007629394,28.3999996185303,28,27.1000003814697,26.6000003814697,26,26.1000003814697,26.2999992370605,25,23.3999996185303,23.5,23.6000003814697,23.6000003814697,22.8999996185303,22.3999996185303,22.1000003814697,21.7999992370605,21.2999992370605,21.7999992370605,20.8999996185303,21,21,21.2000007629395,21.1000003814697,21.2000007629395,21.2000007629395
Austria,,,,38.7999992370606,38.0999984741211,38.0999984741211,37.7999992370606,37.7000007629394,37.2999992370606,37,36.7999992370606,36.9000015258789,35.5999984741211,35.0999984741211,32.5,32,31,30.1000003814697,30.3999996185303,30.6000003814697,30.6000003814697,29.8999996185303,29.6000003814697,29.6000003814697,27.7999992370605,27.6000003814697,28.2000007629394,27.2999992370605
Azerbaijan,,,,29.1000003814697,29.1000003814697,29.2999992370606,29.2999992370606,29.1000003814697,29.2999992370606,29,22.8999996185303,22.2999992370605,20.2999992370605,19.2000007629395,18.7999992370605,17.7999992370605,15.1000003814697,14,11.1000003814697,11.1999998092651,10.8999996185303,10.8000001907349,11.5,12.8999996185303,11.8999996185303,12.1000003814697,12.3999996185303,12.6000003814697
Bahamas,,,,,,,15.3000001907349,,,14.1999998092651,,15.1999998092651,15.3000001907349,12.1000003814697,12.8999996185303,14.1999998092651,14.6999998092651,14.6000003814697,15.1999998092651,16.6000003814697,,17,16.6000003814697,15.8000001907349,16.1000003814697,17.7999992370605,18.3999996185303,17.8999996185303
Bahrain,,34.7000007629394,34.2000007629394,,,,,,,,,28.5,,,,,,,,,,28,,,,,,
Bangladesh,,,,,11,11.5,12.5,,,15.3999996185303,,13,,,,,9.60000038146973,,,,10.3000001907349,,,13.6999998092651,,14.5,,
