Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,54.5,,54.7999992370606,53,,,
American Samoa,,,,,,,,,,,40.7000007629394,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,66.5999984741211,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,67.5,,76.6999969482422,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,74.5999984741211,,,,,,
Argentina,,,59.5,58.5,56.5999984741211,,,,,,67.5999984741211,66.1999969482422,66.6999969482422,69.3000030517578,70.5,71.9000015258789,73.9000015258789,73.1999969482422,74,75.3000030517578,76.1999969482422,76.9000015258789,78.5,76.3000030517578,75.5,75.0999984741211,75.1999969482422,
Armenia,,,,,,,,,,,,,,,,,,,,,,68.4000015258789,37.7999992370606,37.5,37.0999984741211,37.7999992370606,38.2000007629394,
Aruba,,,,,,,,,,,,,,,81.1999969482422,,,82.9000015258789,,,,,,,,,,
Australia,62.4000015258789,62.7000007629394,63.7000007629394,64.8000030517578,65.5,66.6999969482422,67.4000015258789,68.3000030517578,68,68.4000015258789,69.5,71.3000030517578,71.3000030517578,71.0999984741211,71.3000030517578,72.1999969482422,72.5,72.6999969482422,73.3000030517578,73.6999969482422,73.3000030517578,74.1999969482422,74.5,75,74.8000030517578,75,75,75.0999984741211
Austria,,,,51.2000007629394,52.2000007629394,52.5999984741211,53.2000007629394,53.4000015258789,54,54.7000007629394,54.9000015258789,55.2000007629394,56.7999992370606,57.5,60.2000007629394,60.5,61.7000007629394,63.0999984741211,62.9000015258789,63.0999984741211,63.4000015258789,64.3000030517578,64.5,64.6999969482422,67,66.6999969482422,66.0999984741211,66.8000030517578
Azerbaijan,,,,33.5,33.5,33.7000007629394,33.7000007629394,33.2000007629394,34,35.4000015258789,31.1000003814697,32.2000007629394,31.1000003814697,34,35.4000015258789,35.7999992370606,37.7000007629394,42.2999992370606,46.5999984741211,46.5,48.0999984741211,49.2000007629394,48.2999992370606,48.7000007629394,48.5,48.5999984741211,47.9000015258789,48.7999992370606
Bahamas,,,,,,,79.4000015258789,,,79.5999984741211,,78.5999984741211,79.3000030517578,81.5999984741211,81.3000030517578,81.1999969482422,79.8000030517578,81.1999969482422,80.9000015258789,78.9000015258789,,78.4000015258789,79.1999969482422,80.9000015258789,79.4000015258789,78.4000015258789,79.5,79.5999984741211
Bahrain,,61.0999984741211,61.5,,,,,,,,,68.5999984741211,,,,,,,,,,67.8000030517578,,,,,,
Bangladesh,,,,,24.2000007629395,26,26.5,,,14.8000001907349,,16.2000007629395,,,,,25,,,,23.5,,,34.5999984741211,,37.4000015258789,,
Barbados,,69.0999984741211,67.6999969482422,68.5,68.0999984741211,68.3000030517578,69.5,69.6999969482422,69.5,60.9000015258789,62,65.5999984741211,64.0999984741211,65.5999984741211,65.1999969482422,65.0999984741211,62.7000007629394,64.3000030517578,62.7999992370606,64,64.4000015258789,65.5,65.9000015258789,66.8000030517578,69.6999969482422,,,
Belgium,62.5999984741211,64,65.0999984741211,65.9000015258789,66.5,67.0999984741211,67.8000030517578,68.5999984741211,,,,,,66.3000030517578,66.5999984741211,67,67.3000030517578,67.8000030517578,67.9000015258789,70.8000030517578,71.4000015258789,71.9000015258789,72.5999984741211,73.1999969482422,72.8000030517578,72.5999984741211,72.8000030517578,
Belize,,,,,,,,,,,,,,53.5999984741211,53.0999984741211,54.5,53,51.4000015258789,56.5,55.2999992370606,,,,,,61.9000015258789,,
Bermuda,,,,,,,,,,,,,,,,,,,,,74.9000015258789,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,39.2000007629394,,
Bolivia,32.9000015258789,33.9000015258789,36.2999992370606,35.2000007629394,36,36.5,39.9000015258789,39.7999992370606,39.7999992370606,72.3000030517578,72.8000030517578,68.5,65.8000030517578,69.8000030517578,68.5999984741211,68.6999969482422,66.4000015258789,64.5,,67.9000015258789,67,41.7999992370606,41.5,,,,,
Botswana,,,,,,31.3999996185303,,,,,,,,,,,58.5999984741211,,55.9000015258789,,58.0999984741211,61.2999992370606,,56.0999984741211,,54.7000007629394,,
Brazil,,46.0999984741211,47.0999984741211,47.5999984741211,48.4000015258789,49.2999992370606,50,51.5999984741211,52.4000015258789,53.2000007629394,,,,,,,,,,,59.0999984741211,,57.7999992370606,58.2000007629394,57.7999992370606,57.9000015258789,59.0999984741211,
British Virgin Islands,,,,,,,,,,,,76.0999984741211,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,77.1999969482422,,,,,,
Bulgaria,32.9000015258789,33.0999984741211,33.2999992370606,33.5,33.7000007629394,34,34.2000007629394,34.5,35,36,37.2999992370606,39.2999992370606,40.2999992370606,41.2999992370606,42,42.5999984741211,43.0999984741211,42.5999984741211,43.2000007629394,45.4000015258789,45.5,,46.2999992370606,57.0999984741211,57.0999984741211,56.7999992370606,57.4000015258789,57
Burkina Faso,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,18,,17.7000007629395,19.1000003814697,,,8.60000038146973,,,
Cameroon,,,,,,,14,,,,,,,,,,,,,,,23.1000003814697,,,,,,
